date,fii_net,dii_net,total_net,signal
2008-07-08,-223.19,24.1,-199.09,-1
2008-07-10,-680.42,548.29,-132.13,-1
2008-07-11,-19.27,-147.08,-166.35000000000002,-1
2008-07-14,-436.52,-63.25,-499.77,-1
2008-07-15,-702.7,283.4,-419.30000000000007,-1
2008-07-16,-229.0,14.12,-214.88,-1
2008-07-17,310.45,168.02,478.47,1
2008-07-18,408.21,-70.47,337.74,1
2008-07-21,-62.22,-230.96,-293.18,-1
2008-07-22,-597.35,261.61,-335.74,-1
2008-07-23,1306.56,-875.22,431.3399999999999,1
2008-07-24,272.36,-609.68,-337.31999999999994,1
2008-07-25,-565.73,-302.41,-868.1400000000001,-1
2008-07-28,-721.9,456.67,-265.22999999999996,-1
2008-07-29,-538.27,-254.59,-792.86,-1
2008-07-30,-628.47,672.12,43.64999999999998,-1
2008-07-31,494.87,320.57,815.44,1
2008-08-01,570.65,92.08,662.73,1
2008-08-02,-797.25,192.98,-604.27,-1
2008-08-04,7.27,447.79,455.06,1
2008-08-05,-724.49,609.51,-114.98000000000002,-1
2008-08-07,-326.27,427.27,101.0,-1
2008-08-08,-142.22,16.29,-125.93,-1
2008-08-09,253.43,-132.62,120.81,1
2008-08-10,-1055.51,1083.56,28.049999999999955,-1
2008-08-12,350.34,-617.05,-266.71,1
2008-08-13,-915.58,226.12,-689.46,-1
2008-08-14,-573.98,23.32,-550.66,-1
2008-08-18,-475.5,128.91,-346.59000000000003,-1
2008-08-19,-716.35,14.56,-701.7900000000001,-1
2008-08-20,-447.34,205.6,-241.73999999999998,-1
2008-08-21,-545.71,344.89,-200.82000000000005,-1
2008-08-22,-239.24,450.39,211.14999999999998,-1
2008-08-25,62.92,96.26,159.18,1
2008-08-26,-572.04,276.92,-295.11999999999995,-1
2008-08-27,-32.49,163.27,130.78,-1
2008-08-28,-187.19,390.62,203.43,-1
2008-08-29,-364.61,281.07,-83.54000000000002,-1
2008-09-01,-392.03,85.51,-306.52,-1
2008-09-04,-307.27,475.81,168.54000000000002,-1
2008-09-05,-619.34,180.16,-439.18000000000006,-1
2008-09-06,-1344.67,1030.26,-314.4100000000001,-1
2008-09-07,-435.54,139.22,-296.32000000000005,-1
2008-09-09,-391.53,106.27,-285.26,-1
